City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cartagena,CO,78.8,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
9,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
20,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
28,Kavieng,PG,84.45,light rain,-2.5744,150.7967,Nusa Island Retreat
32,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
33,Kavaratti,IN,82.96,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
39,Moerai,PF,80.38,clear sky,-22.4333,-151.3333,Le Manotel
40,Geraldton,AU,82.4,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
43,Hilo,US,78.8,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
56,Padang,ID,84.2,scattered clouds,-0.9492,100.3543,Mercure Padang
57,Bambous Virieux,MU,75.2,light rain,-20.3428,57.7575,Casa Tia Villa
61,Hambantota,LK,75.2,scattered clouds,6.1241,81.1185,Bungalow 63
75,Touros,BR,77.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
81,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
88,Bengkulu,ID,81.07,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
89,Cockburn Town,TC,77.59,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
94,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
97,Bengkulu,ID,81.07,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
99,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
100,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
105,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
108,Bandarbeyla,SO,75.36,clear sky,9.4942,50.8122,JABIR HOTEL
112,Kavieng,PG,84.45,light rain,-2.5744,150.7967,Nusa Island Retreat
