,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Albany,42.6001,-73.9662,33.01,55,57,10.96,US,broken clouds
1,Cartagena,10.3997,-75.5144,78.8,89,75,11.5,CO,broken clouds
2,Pisco,-13.7,-76.2167,69.8,73,0,10.36,PE,clear sky
3,Punta Arenas,-53.15,-70.9167,46.4,87,0,8.05,CL,clear sky
4,Yellowknife,62.456,-114.3525,17.01,86,90,10.36,CA,light snow
5,Khatanga,71.9667,102.5,-19.88,94,36,4.45,RU,scattered clouds
6,Ushuaia,-54.8,-68.3,48.2,71,20,5.75,AR,few clouds
7,Mataura,-46.1927,168.8643,57.99,58,9,17.0,NZ,clear sky
8,Chuy,-33.6971,-53.4616,65.14,65,68,6.24,UY,broken clouds
9,Saint-Philippe,-21.3585,55.7679,77.0,69,90,12.66,RE,overcast clouds
10,Rikitea,-23.1203,-134.9692,72.1,89,100,4.59,PF,moderate rain
11,Mataura,-46.1927,168.8643,57.99,58,9,17.0,NZ,clear sky
12,Burnie,-41.0667,145.9167,66.61,76,99,6.35,AU,overcast clouds
13,Aklavik,68.2191,-135.0107,-11.2,58,75,4.61,CA,broken clouds
14,Lagoa,39.05,-27.9833,59.4,82,100,26.37,PT,overcast clouds
15,Petropavlivka,48.4564,36.4367,43.45,77,11,6.46,UA,few clouds
16,Kodiak,57.79,-152.4072,28.4,43,1,31.07,US,clear sky
17,Rikitea,-23.1203,-134.9692,72.1,89,100,4.59,PF,moderate rain
18,A Coruna,43.3713,-8.396,57.99,100,90,1.14,ES,overcast clouds
19,Rikitea,-23.1203,-134.9692,72.1,89,100,4.59,PF,moderate rain
20,Vaini,-21.2,-175.2,86.0,74,75,5.75,TO,light rain
21,Abu Kamal,34.4506,40.9171,55.24,53,5,6.55,SY,clear sky
22,Bluff,-46.6,168.3333,57.99,61,14,17.0,NZ,few clouds
23,Ushuaia,-54.8,-68.3,48.2,71,20,5.75,AR,few clouds
24,Kysyl-Syr,63.8986,122.7617,-0.04,87,98,12.12,RU,overcast clouds
25,Vila Velha,-20.3297,-40.2925,73.4,88,75,4.61,BR,broken clouds
26,Castro,-24.7911,-50.0119,52.43,93,0,6.35,BR,clear sky
27,Hobart,-42.8794,147.3294,69.01,59,75,3.44,AU,broken clouds
28,Kavieng,-2.5744,150.7967,84.45,74,93,9.13,PG,light rain
29,Barrow,71.2906,-156.7887,-5.8,77,1,1.88,US,clear sky
30,Inuvik,68.3499,-133.7218,-11.2,64,97,5.75,CA,overcast clouds
31,Lebu,-37.6167,-73.65,55.96,90,29,13.06,CL,scattered clouds
32,Kapaa,22.0752,-159.319,78.8,65,75,18.41,US,broken clouds
33,Kavaratti,10.5669,72.642,82.96,66,50,12.03,IN,scattered clouds
34,Cherskiy,68.75,161.3,2.5,80,6,5.95,RU,clear sky
35,Port Alfred,-33.5906,26.891,67.03,90,100,7.63,ZA,overcast clouds
36,Cape Town,-33.9258,18.4232,63.0,83,100,1.01,ZA,overcast clouds
37,Amga,60.8953,131.9608,29.5,88,100,4.5,RU,overcast clouds
38,Vardo,70.3705,31.1107,32.02,82,100,5.79,NO,overcast clouds
39,Moerai,-22.4333,-151.3333,80.38,72,1,21.45,PF,clear sky
40,Geraldton,-28.7667,114.6,82.4,69,40,8.05,AU,scattered clouds
41,Ushuaia,-54.8,-68.3,48.2,71,20,5.75,AR,few clouds
42,Jamestown,42.097,-79.2353,25.0,68,90,11.5,US,light snow
43,Hilo,19.7297,-155.09,78.8,61,75,12.66,US,heavy intensity rain
44,Calmar,53.2668,-113.8187,51.8,25,11,11.5,CA,few clouds
