City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Suleja,NG,2021-03-28 20:18:07,9.1758,7.1808,91.4,18,8,6.91
1,Hilo,US,2021-03-28 20:13:11,19.7297,-155.09,71.6,83,75,8.05
2,Georgetown,MY,2021-03-28 20:14:07,5.4112,100.3354,78.8,94,20,1.14
3,Woodward,US,2021-03-28 20:18:08,36.4337,-99.3904,66.2,24,1,5.75
4,New Norfolk,AU,2021-03-28 20:18:08,-42.7826,147.0587,51.01,62,67,1.01
5,Provideniya,RU,2021-03-28 20:18:08,64.3833,-173.3,11.55,91,100,22.03
6,Ribeira Grande,PT,2021-03-28 20:18:08,38.5167,-28.7,60.8,82,40,12.66
7,Narsaq,GL,2021-03-28 20:18:09,60.9167,-46.05,24.8,58,0,2.3
8,Morro Bay,US,2021-03-28 20:14:45,35.3658,-120.8499,75.99,34,0,6.33
9,Lagoa,PT,2021-03-28 20:18:09,39.05,-27.9833,59.27,81,100,21.27
10,Nikolskoye,RU,2021-03-28 20:18:09,59.7035,30.7861,41.0,87,90,2.24
11,Montepuez,MZ,2021-03-28 20:18:09,-13.1256,38.9997,69.33,97,100,4.88
12,Cherskiy,RU,2021-03-28 20:18:10,68.75,161.3,-9.27,93,100,0.74
13,Ushuaia,AR,2021-03-28 20:15:59,-54.8,-68.3,48.2,61,0,23.02
14,Chokurdakh,RU,2021-03-28 20:18:10,70.6333,147.9167,-16.42,100,98,4.68
15,Hambantota,LK,2021-03-28 20:18:10,6.1241,81.1185,77.11,76,100,1.66
16,Sao Gabriel Da Cachoeira,BR,2021-03-28 20:18:10,-0.1303,-67.0892,89.6,66,40,3.44
17,Yashkino,RU,2021-03-28 20:18:11,55.8736,85.4265,28.4,93,75,4.47
18,Bouafle,CI,2021-03-28 20:18:11,6.9904,-5.7442,80.6,83,0,4.61
19,Rikitea,PF,2021-03-28 20:18:11,-23.1203,-134.9692,79.14,71,6,15.43
20,Puerto Ayora,EC,2021-03-28 20:18:11,-0.7393,-90.3518,82.4,78,20,9.22
21,Tiksi,RU,2021-03-28 20:18:12,71.6872,128.8694,1.63,99,100,1.72
22,Esperance,AU,2021-03-28 20:18:12,-33.8667,121.9,60.8,100,0,9.22
23,Cape Town,ZA,2021-03-28 20:16:24,-33.9258,18.4232,70.0,72,0,9.22
24,Mataura,NZ,2021-03-28 20:15:01,-46.1927,168.8643,54.0,98,75,1.01
25,Vestmannaeyjar,IS,2021-03-28 20:15:04,63.4427,-20.2734,33.8,75,20,6.91
26,Agadir,MA,2021-03-28 20:18:12,30.4202,-9.5982,68.0,73,0,12.66
27,Busselton,AU,2021-03-28 20:16:55,-33.65,115.3333,54.0,95,0,6.6
28,Alice Springs,AU,2021-03-28 20:18:13,-23.7,133.8833,64.4,77,3,3.44
29,Qaanaaq,GL,2021-03-28 20:15:14,77.484,-69.3632,-16.26,81,72,3.91
30,Nuuk,GL,2021-03-28 20:18:13,64.1835,-51.7216,10.4,67,20,16.11
31,Barrow,US,2021-03-28 20:15:05,71.2906,-156.7887,-23.8,83,1,10.36
32,Kapaa,US,2021-03-28 20:18:13,22.0752,-159.319,73.99,78,75,21.85
33,Bluff,NZ,2021-03-28 20:17:02,-46.6,168.3333,54.0,98,96,1.01
34,Dauphin,CA,2021-03-28 20:18:13,51.1494,-100.0502,37.4,65,90,14.97
35,Ancud,CL,2021-03-28 20:18:14,-41.8697,-73.8203,68.0,60,0,17.27
36,Pangnirtung,CA,2021-03-28 20:18:14,66.1451,-65.7125,3.2,72,90,4.23
37,Kudahuvadhoo,MV,2021-03-28 20:18:14,2.6708,72.8944,80.26,82,100,11.45
38,Den Helder,NL,2021-03-28 20:18:14,52.9599,4.7593,48.0,87,90,21.85
39,West Milford,US,2021-03-28 20:18:15,41.1312,-74.3674,60.01,98,100,12.28
40,Sitka,US,2021-03-28 20:18:15,57.0531,-135.33,39.2,60,20,18.41
41,Nador,MA,2021-03-28 20:18:15,35.174,-2.9287,60.8,88,90,11.5
42,Punta Arenas,CL,2021-03-28 20:18:16,-53.15,-70.9167,55.0,47,0,13.8
43,Yulara,AU,2021-03-28 20:18:16,-25.2406,130.9889,71.6,60,0,9.22
44,Pevek,RU,2021-03-28 20:18:16,69.7008,170.3133,-21.19,100,66,1.68
45,Luderitz,NA,2021-03-28 20:18:16,-26.6481,15.1594,62.83,84,1,5.28
46,Cherkasskoye,RU,2021-03-28 20:18:17,52.4333,47.2167,30.43,96,100,13.98
47,Airai,TL,2021-03-28 20:18:17,-8.9266,125.4092,60.28,95,100,2.35
48,Codrington,AU,2021-03-28 20:18:17,-38.2667,141.9667,58.37,76,100,7.18
49,Bredasdorp,ZA,2021-03-28 20:15:05,-34.5322,20.0403,62.6,82,100,11.5
50,Sayyan,YE,2021-03-28 20:18:18,15.1718,44.3244,56.3,29,6,5.91
51,Bardiyah,LY,2021-03-28 20:18:18,31.7561,25.0865,57.15,60,81,9.06
52,Yellowknife,CA,2021-03-28 20:14:12,62.456,-114.3525,25.0,42,75,17.27
53,Kichera,RU,2021-03-28 20:18:18,55.9375,110.0997,17.92,86,100,3.29
54,Kununurra,AU,2021-03-28 20:18:18,-15.7667,128.7333,77.0,94,100,4.61
55,Wanning,CN,2021-03-28 20:18:19,18.8003,110.3967,73.98,96,100,9.6
56,Touros,BR,2021-03-28 20:18:19,-5.1989,-35.4608,84.2,70,40,11.5
57,Jamestown,US,2021-03-28 20:18:19,42.097,-79.2353,46.99,81,90,17.18
58,Butaritari,KI,2021-03-28 20:18:20,3.0707,172.7902,81.46,74,74,12.82
59,Kanungu,UG,2021-03-28 20:18:20,-0.9575,29.7897,60.96,93,62,3.11
60,Los Llanos De Aridane,ES,2021-03-28 20:18:20,28.6585,-17.9182,66.2,77,40,6.91
61,Vila Franca Do Campo,PT,2021-03-28 20:15:03,37.7167,-25.4333,59.0,77,75,9.22
62,Atuona,PF,2021-03-28 20:18:20,-9.8,-139.0333,81.1,72,100,17.69
63,Ambon,ID,2021-03-28 20:18:21,-3.6954,128.1814,77.0,88,40,4.61
64,Kaitangata,NZ,2021-03-28 20:18:21,-46.2817,169.8464,53.13,95,66,3.0
65,Umm Kaddadah,SD,2021-03-28 20:18:21,13.6017,26.6876,69.64,11,0,14.27
