City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tilichiki,RU,2021-03-28 19:24:11,60.4667,166.1,-9.31,92,20,7.0
1,Rocha,UY,2021-03-28 19:24:11,-34.4833,-54.3333,67.78,86,86,6.73
2,Iisalmi,FI,2021-03-28 19:24:11,63.5592,27.1907,41.0,75,20,11.5
3,Henties Bay,NA,2021-03-28 19:24:12,-22.116,14.2845,61.0,90,0,5.99
4,Cape Town,ZA,2021-03-28 19:23:27,-33.9258,18.4232,69.01,72,0,6.91
5,Kampong Thum,KH,2021-03-28 19:24:12,12.7111,104.8887,83.48,50,36,10.22
6,Barrow,US,2021-03-28 19:22:29,71.2906,-156.7887,-25.6,68,20,10.36
7,East London,ZA,2021-03-28 19:19:39,-33.0153,27.9116,60.8,82,20,4.61
8,Hithadhoo,MV,2021-03-28 19:24:12,-0.6,73.0833,80.29,84,100,27.89
9,Norman Wells,CA,2021-03-28 19:23:14,65.282,-126.8329,-4.0,65,75,19.57
10,Airai,TL,2021-03-28 19:24:13,-8.9266,125.4092,60.28,95,100,2.21
11,Busselton,AU,2021-03-28 19:22:40,-33.65,115.3333,55.0,94,0,6.29
12,Iqaluit,CA,2021-03-28 19:19:26,63.7506,-68.5145,14.0,73,75,13.8
13,Souillac,MU,2021-03-28 19:20:17,-20.5167,57.5167,77.0,88,20,4.61
14,Avarua,CK,2021-03-28 19:19:24,-21.2078,-159.775,80.6,83,75,12.66
15,Salalah,OM,2021-03-28 19:24:13,17.0151,54.0924,80.6,61,0,3.44
16,Upernavik,GL,2021-03-28 19:24:13,72.7868,-56.1549,-16.58,78,31,2.57
17,Puerto Ayora,EC,2021-03-28 19:19:21,-0.7393,-90.3518,82.4,78,20,11.5
18,Pedernales,DO,2021-03-28 19:24:14,18.0384,-71.744,86.97,47,0,4.9
19,Lebu,CL,2021-03-28 19:19:39,-37.6167,-73.65,62.73,70,0,14.52
20,Ushuaia,AR,2021-03-28 19:24:14,-54.8,-68.3,46.4,61,40,25.32
21,Guiratinga,BR,2021-03-28 19:24:14,-16.3494,-53.7583,88.88,30,0,2.28
22,New Norfolk,AU,2021-03-28 19:24:14,-42.7826,147.0587,52.0,60,38,1.99
23,Punta Arenas,CL,2021-03-28 19:23:17,-53.15,-70.9167,55.4,41,0,16.11
24,San Jose,US,2021-03-28 19:21:32,37.3394,-121.895,77.0,37,1,4.61
25,Hermanus,ZA,2021-03-28 19:22:47,-34.4187,19.2345,66.0,74,100,4.0
26,Vaini,TO,2021-03-28 19:24:15,-21.2,-175.2,78.8,89,75,9.22
27,Bluff,NZ,2021-03-28 19:22:35,-46.6,168.3333,52.0,98,100,5.68
28,Lorengau,PG,2021-03-28 19:24:15,-2.0226,147.2712,81.88,76,100,7.58
29,Provideniya,RU,2021-03-28 19:24:15,64.3833,-173.3,10.0,93,100,22.19
30,Narsaq,GL,2021-03-28 19:19:26,60.9167,-46.05,24.8,58,0,6.91
31,Saint-Pierre,RE,2021-03-28 19:21:00,-21.3393,55.4781,78.8,78,0,6.91
32,Vardo,NO,2021-03-28 19:23:16,70.3705,31.1107,32.0,80,20,12.66
33,Nanortalik,GL,2021-03-28 19:19:31,60.1432,-45.2371,25.95,65,4,7.0
34,Chokurdakh,RU,2021-03-28 19:24:16,70.6333,147.9167,-14.82,99,99,4.47
35,Cortazar,MX,2021-03-28 19:24:16,20.4833,-100.9333,86.0,12,87,4.0
36,Saint-Philippe,RE,2021-03-28 19:24:16,-21.3585,55.7679,78.8,78,0,6.91
37,Bagotville,AU,2021-03-28 19:24:16,-28.9833,153.4167,64.4,94,4,5.73
38,Ahipara,NZ,2021-03-28 19:23:07,-35.1667,173.1667,66.15,93,63,7.07
39,Abapo,BO,2021-03-28 19:24:17,-18.8333,-63.4667,70.68,52,96,1.88
40,Qaanaaq,GL,2021-03-28 19:24:17,77.484,-69.3632,-15.2,80,75,2.82
41,Mataura,NZ,2021-03-28 19:24:17,-46.1927,168.8643,52.0,98,100,2.3
42,Port Macquarie,AU,2021-03-28 19:24:17,-31.4333,152.9167,64.0,99,21,4.12
43,Cabo San Lucas,MX,2021-03-28 19:23:56,22.8909,-109.9124,81.0,35,75,8.05
44,Zamosc,PL,2021-03-28 19:24:18,50.7231,23.252,39.2,65,0,3.44
45,Isangel,VU,2021-03-28 19:24:18,-19.55,169.2667,76.5,87,6,5.77
46,Manta,EC,2021-03-28 19:24:18,-0.95,-80.7333,80.6,78,75,3.44
47,Arraial Do Cabo,BR,2021-03-28 19:24:18,-22.9661,-42.0278,86.0,74,20,9.22
48,Little Canada,US,2021-03-28 19:24:19,45.0269,-93.0877,43.0,42,75,17.27
49,Vad,RU,2021-03-28 19:24:19,55.5301,44.2114,23.74,96,22,5.77
50,Hobart,AU,2021-03-28 19:21:57,-42.8794,147.3294,53.6,50,20,14.97
51,Kudahuvadhoo,MV,2021-03-28 19:24:19,2.6708,72.8944,81.5,78,100,13.49
52,Miraflores,MX,2021-03-28 19:24:19,19.2167,-98.8083,84.2,14,20,9.22
53,Bethel,US,2021-03-28 19:24:20,41.3712,-73.414,53.6,94,90,5.75
54,Maniitsoq,GL,2021-03-28 19:24:20,65.4167,-52.9,6.15,51,22,1.21
55,Mar Del Plata,AR,2021-03-28 19:19:26,-38.0023,-57.5575,68.0,83,40,14.97
56,Albany,US,2021-03-28 19:22:49,42.6001,-73.9662,52.0,87,100,10.42
57,Mahon,ES,2021-03-28 19:24:20,39.8885,4.2658,53.6,87,0,6.91
58,Bergen,NO,2021-03-28 19:24:21,60.392,5.328,43.0,87,75,10.36
59,Dikson,RU,2021-03-28 19:24:21,73.5069,80.5464,-24.34,100,96,6.58
60,Saint George,US,2021-03-28 19:24:21,37.1041,-113.5841,69.01,27,1,3.44
61,Tommot,RU,2021-03-28 19:22:47,58.9564,126.2925,13.24,96,100,1.28
62,Longyearbyen,SJ,2021-03-28 19:23:46,78.2186,15.6401,32.0,74,20,2.3
63,Novoukrainskoye,RU,2021-03-28 19:24:21,45.3783,40.5297,46.0,70,85,8.16
64,Macon,US,2021-03-28 19:24:22,39.8667,-88.9668,50.0,43,75,24.16
65,Khani,GE,2021-03-28 19:24:22,41.9563,42.9566,37.4,87,0,2.3
66,Santa Cruz,BO,2021-03-28 19:20:23,-17.8,-63.1667,80.6,53,40,9.22
67,Khomeyn,IR,2021-03-28 19:24:22,33.6423,50.0789,46.53,25,0,3.06
68,Solnechnyy,RU,2021-03-28 19:22:40,50.7214,136.6319,28.72,96,100,4.68
69,Qinzhou,CN,2021-03-28 19:24:23,21.95,108.6167,73.06,93,35,8.52
70,Marzuq,YE,2021-03-28 19:24:23,14.4,46.4667,68.74,40,0,6.76
71,Port Alfred,ZA,2021-03-28 19:24:23,-33.5906,26.891,66.29,71,100,18.79
72,Awallan,PH,2021-03-28 19:24:23,17.9244,121.913,72.97,96,35,2.08
73,Nagato,JP,2021-03-28 19:24:24,34.3833,131.2,57.2,67,20,5.75
74,Meadow Lake,US,2021-03-28 19:24:24,34.8014,-106.5436,62.01,26,1,3.44
75,Faanui,PF,2021-03-28 19:24:24,-16.4833,-151.75,82.27,73,15,21.59
76,Itarema,BR,2021-03-28 19:24:24,-2.9248,-39.9167,81.97,71,16,7.61
77,Kaitangata,NZ,2021-03-28 19:24:23,-46.2817,169.8464,52.02,97,73,2.73
78,Jamestown,US,2021-03-28 19:24:25,42.097,-79.2353,46.0,81,90,20.22
79,Neka,IR,2021-03-28 19:24:25,36.6508,53.299,43.68,74,0,7.09
80,Codrington,AU,2021-03-28 19:24:25,-38.2667,141.9667,58.77,76,100,9.8
81,Mana,GF,2021-03-28 19:24:25,5.6592,-53.7767,81.0,75,68,14.18
